x	y	width	height	center.x	 center.y
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
386	270	50	51	411	295
