x	y	width	height	center.x	 center.y
474	234	219	98	583	283
474	234	219	98	583	283
475	237	214	95	582	284
475	235	214	96	582	283
471	234	219	98	580	283
473	237	214	95	580	284
471	235	215	96	578	283
471	235	215	96	578	283
471	235	215	96	578	283
469	234	219	98	578	283
469	235	219	99	578	284
468	234	219	98	577	283
468	234	219	98	577	283
468	234	219	98	577	283
466	234	219	98	575	283
466	234	219	98	575	283
466	234	219	98	575	283
466	234	219	98	575	283
466	234	219	98	575	283
466	234	219	98	575	283
466	234	219	98	575	283
466	234	219	98	575	283
466	234	219	98	575	283
466	234	219	98	575	283
466	234	219	98	575	283
464	232	219	99	573	281
464	232	219	99	573	281
460	239	227	101	573	289
460	237	227	102	573	288
498	303	223	101	609	353
479	298	266	119	612	357
514	326	261	117	644	384
652	399	257	115	780	456
657	403	246	110	780	458
647	406	227	101	760	456
643	409	217	97	751	457
639	409	218	97	748	457
638	409	217	97	746	457
638	409	217	97	746	457
638	409	217	97	746	457
634	409	222	101	745	459
632	409	226	101	745	459
638	409	217	97	746	457
638	411	217	97	746	459
638	411	217	97	746	459
636	411	218	97	745	459
638	411	217	97	746	459
636	410	218	97	745	458
634	407	222	100	745	457
636	410	218	97	745	458
638	409	217	97	746	457
635	409	222	100	746	459
640	410	217	97	748	458
640	410	217	97	748	458
638	410	218	97	747	458
638	410	218	97	747	458
637	410	217	97	745	458
638	409	218	97	747	457
638	409	218	97	747	457
638	410	217	97	746	458
638	411	214	96	745	459
638	410	217	97	746	458
635	409	222	100	746	459
636	409	222	100	747	459
640	410	217	97	748	458
634	409	222	100	745	459
634	409	222	100	745	459
637	410	217	97	745	458
637	410	217	97	745	458
634	409	222	100	745	459
634	409	222	100	745	459
638	410	218	97	747	458
636	409	222	100	747	459
636	409	222	100	747	459
636	409	222	100	747	459
638	410	218	97	747	458
634	409	222	100	745	459
635	409	222	100	746	459
635	409	222	100	746	459
635	409	222	100	746	459
636	409	222	100	747	459
638	410	218	97	747	458
635	409	222	100	746	459
638	410	218	97	747	458
636	407	222	100	747	457
636	409	222	100	747	459
636	409	222	100	747	459
636	409	222	100	747	459
636	409	222	100	747	459
638	410	218	97	747	458
635	409	222	100	746	459
635	409	222	100	746	459
635	409	222	100	746	459
635	409	222	100	746	459
636	409	222	100	747	459
635	409	222	100	746	459
638	410	218	97	747	458
635	409	222	100	746	459
638	410	218	97	747	458
638	410	218	97	747	458
638	410	218	97	747	458
638	410	218	97	747	458
636	408	222	100	747	458
636	409	222	101	747	459
638	411	218	97	747	459
638	411	218	97	747	459
638	411	218	97	747	459
635	409	222	101	746	459
635	409	222	101	746	459
635	409	222	101	746	459
638	411	218	97	747	459
636	408	222	100	747	458
638	411	218	97	747	459
635	408	222	100	746	458
638	411	218	97	747	459
635	409	222	101	746	459
635	409	222	101	746	459
638	411	217	97	746	459
634	409	222	101	745	459
638	411	217	97	746	459
638	411	217	97	746	459
638	409	217	97	746	457
638	409	217	97	746	457
638	409	217	97	746	457
638	411	217	97	746	459
634	409	222	100	745	459
634	409	222	100	745	459
634	409	222	100	745	459
634	409	222	100	745	459
637	411	217	97	745	459
634	409	222	100	745	459
638	411	218	97	747	459
634	409	222	100	745	459
634	409	222	100	745	459
638	411	218	97	747	459
634	409	222	100	745	459
634	409	222	100	745	459
634	409	222	100	745	459
634	409	222	100	745	459
634	409	222	100	745	459
634	409	222	100	745	459
634	409	222	100	745	459
634	409	222	100	745	459
634	409	222	100	745	459
634	409	222	100	745	459
634	409	222	100	745	459
634	409	222	100	745	459
637	411	217	97	745	459
637	411	217	97	745	459
634	409	222	100	745	459
638	411	218	97	747	459
634	409	222	100	745	459
638	411	218	97	747	459
634	409	222	100	745	459
638	411	218	97	747	459
638	411	218	97	747	459
638	410	218	97	747	458
638	409	218	97	747	457
638	409	218	97	747	457
636	409	222	100	747	459
638	411	218	97	747	459
634	409	222	100	745	459
634	409	222	100	745	459
634	409	222	100	745	459
634	409	222	100	745	459
634	409	222	100	745	459
634	409	222	100	745	459
634	409	222	100	745	459
634	409	222	100	745	459
634	409	222	100	745	459
634	409	222	100	745	459
634	409	222	100	745	459
638	411	218	97	747	459
638	411	218	97	747	459
638	411	218	97	747	459
638	410	218	97	747	458
638	410	218	97	747	458
638	410	218	97	747	458
638	410	218	97	747	458
638	410	218	97	747	458
638	411	218	97	747	459
638	410	218	97	747	458
638	410	218	97	747	458
638	409	218	97	747	457
638	410	218	97	747	458
634	409	222	100	745	459
634	409	222	100	745	459
634	409	222	100	745	459
632	408	227	102	745	459
632	407	227	101	745	457
630	407	227	101	743	457
630	407	227	101	743	457
628	406	232	103	744	457
628	406	232	103	744	457
625	403	236	106	743	456
627	406	232	103	743	457
625	404	236	107	743	457
627	406	232	103	743	457
627	406	232	103	743	457
627	406	232	103	743	457
625	404	236	107	743	457
625	405	236	106	743	458
625	405	236	106	743	458
625	405	236	107	743	458
625	404	236	106	743	457
626	404	236	106	744	457
624	404	237	106	742	457
624	405	237	107	742	458
624	404	237	106	742	457
638	405	222	101	749	455
642	409	214	96	749	457
640	409	217	97	748	457
638	408	218	97	747	456
638	408	218	97	747	456
632	407	227	102	745	458
626	403	236	107	744	456
624	405	236	106	742	458
623	405	236	106	741	458
623	405	236	106	741	458
